source	replacement	kind	priority	is_locked	enabled	by	created_at	expires_at	tags	note
いかく	異格	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
いどうとし	移動都市	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
うし	雨師	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
うじゅう	羽獣	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
うんりょうしゅ	雲遼酒	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
うんれつ	雲裂	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
えいし	衛士	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
えーしぇんつ	先民	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
えんえい	焔影	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
えんえいりーど	焔影リード	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
えんえんたるしょくどう	蜿蜒たる蜀道	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
えんこく	炎国	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
えんごく	炎獄	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
えんび	焔尾	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
えんびきし	焔尾騎士	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
おうてつ	黄鉄	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
おうてつのきょうこく	黄鉄の峡谷	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
おうほうろ	応峰路	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
おおごと	瑟	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
おりじにうむ	源石	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
おりぱしー	鉱石病	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
かいごう	灰毫	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
かいごうきし	灰毫騎士	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
かいふくたて	回復盾	literal	0	true	true	arknights	2026-04-22T18:33:12Z		dictionary.arknights	migrated from dictionary.arknights.txt
