source	replacement	kind	priority	is_locked	enabled	by	created_at	expires_at	tags	note
テーマソング:タワーフィアース	2606c	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
ウサギネットワーク	USAGI.NETWORK	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
うさぎはかせちゃん	UsagiNetwork	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
うさぎはかせちゃん	usaginetwork	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
アリシンさん	arisinn	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
まふゆさん	Mafuyu1109	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
まふゆさん	mafuyu1109	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
アイリネさん	airine_e	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
フェリスさん	fellys_shenya	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
ルウリさん	louli_vr	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
ねこやまわんこさん	nekoyamawanko	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
しもつきさん	kai_shimotsuki	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
ななしそらさん	七風天	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
ゆきまるさん	ukima_l	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
なぬぺんさん	nanupen	literal	0	false	true	chat	2026-04-22T18:33:22Z		dictionary.chat	migrated from dictionary.chat.txt
